,count,mean,std,min,25%,50%,75%,max,range,variance
mfcc_s1_1_mean,1489.0,-185.27764376218937,76.86805640891706,-428.83548,-236.80167,-175.31804,-128.34505,0.8322941,429.66777410000003,5908.698096084454
mfcc_s1_1_std,1489.0,64.39137556591857,37.39529770352462,0.0,36.16751,57.71612,89.34624,194.96367,194.96367,1398.408290335234
mfcc_s1_2_mean,1489.0,41.85477362750168,46.03305227161999,-93.14747,18.600481,47.84856,75.67998,135.08875,228.23622,2119.041901441698
mfcc_s1_2_std,1489.0,20.642818513901947,11.662758600989836,0.0,11.417812,18.119242,27.097282,63.137997,63.137997,136.0199381849624
mfcc_s1_3_mean,1489.0,-23.526115860758896,23.329940097628594,-100.998535,-38.620842,-22.533022,-7.27504,44.062958,145.061493,544.2861049589385
mfcc_s1_3_std,1489.0,15.442925813096037,8.160143978025774,0.0,9.510176,14.01933,19.481754,44.641438,44.641438,66.58794974211031
mfcc_s1_4_mean,1489.0,4.4832253301168565,16.991367250263895,-49.534855,-8.508559,3.614713,15.520842,62.265938,111.800793,288.70656103334045
mfcc_s1_4_std,1489.0,9.163428833915379,4.2560593692467705,0.0,6.1268177,8.452358,11.301429,30.926922,30.926922,18.114041354553216
mfcc_s1_5_mean,1489.0,-6.378241689673606,11.158570687219598,-50.161507,-12.723085,-5.4135923,0.83875054,36.934937,87.09644399999999,124.51369978167646
mfcc_s1_5_std,1489.0,7.633628298992612,3.6088012477432576,0.0,5.1110573,6.7089205,9.348373,30.701126,30.701126,13.023446445713292
mfcc_s1_6_mean,1489.0,1.6381018218710546,10.705416214176948,-28.409525,-5.274065,1.7961344,8.2393675,40.39852,68.80804499999999,114.6059363187627
mfcc_s1_6_std,1489.0,6.608481724647414,2.817523975552644,0.0,4.6702976,6.0734153,8.176124,22.524778,22.524778,7.938441352813976
mfcc_s1_7_mean,1489.0,-2.078652923524513,9.722402800024794,-36.092266,-7.926887,-1.8493267,3.8370693,31.067295,67.159561,94.52511620592995
mfcc_s1_7_std,1489.0,6.406472486098052,2.6957890493796963,0.0,4.5213175,5.8338113,7.838351,22.95827,22.95827,7.267278598755486
mfcc_s1_8_mean,1489.0,0.9752440516736065,9.320753430882197,-27.601864,-4.658786,1.1493639,6.662422,46.884293,74.48615699999999,86.87644451930224
mfcc_s1_8_std,1489.0,6.152216101880456,2.7245144228369838,0.0,4.258308,5.5522265,7.3325405,22.031153,22.031153,7.422978840246742
mfcc_s1_9_mean,1489.0,-0.8682836146474143,6.691594397748396,-32.429295,-5.2738705,-0.93248993,3.3917174,23.807951,56.237246,44.77743558397773
mfcc_s1_9_std,1489.0,5.925172377165883,2.4905504156189124,0.0,4.22954,5.381686,7.0285025,18.473522,18.473522,6.202841372739537
mfcc_s1_10_mean,1489.0,-0.020646552692008074,6.887378519842422,-24.702877,-4.066976,-0.23460671,3.682079,28.838734,53.541611,47.4359828755868
mfcc_s1_10_std,1489.0,5.826655832659503,3.0235940296803174,0.0,3.938685,5.057944,6.914618,30.70231,30.70231,9.14212085631846
mfcc_s1_11_mean,1489.0,0.2365954831449295,6.230636473703012,-24.423605,-3.2320535,0.22620685,3.7028325,32.654182,57.077787,38.82083086743831
mfcc_s1_11_std,1489.0,5.644870009536601,2.9870354303884605,0.0,3.682621,4.9210615,6.6379232,24.430262,24.430262,8.922380662395977
mfcc_s1_12_mean,1489.0,0.18537612777578244,6.772466792293116,-33.121544,-3.0187302,0.0,3.697382,35.58145,68.70299399999999,45.86630645271301
mfcc_s1_12_std,1489.0,5.869360438952317,3.7042645880207874,0.0,3.607569,4.7827687,6.7266674,26.856613,26.856613,13.721576138064815
mfcc_s1_13_mean,1489.0,0.824445192209402,6.172244143304458,-20.460232,-2.773697,0.5019504,4.781054,36.194977,56.655209,38.096597764556186
mfcc_s1_13_std,1489.0,5.264867168032236,2.866258671775875,0.0,3.3637607,4.433766,6.272263,25.869171,25.869171,8.215438773530403
mfcc_s2_1_mean,1489.0,-261.33671810745466,110.30189723104492,-625.0328,-351.4232,-246.32878,-174.96199,5.725223,630.758023,12166.508532767995
mfcc_s2_1_std,1489.0,49.53217338486378,43.44374540990335,0.0,6.4456186,44.66442,83.8073,181.8464,181.8464,1887.3590152404984
mfcc_s2_2_mean,1489.0,30.62165591434698,38.049357240494295,-98.8556,0.0,26.664602,57.93718,120.18002,219.03562,1447.7535864147558
mfcc_s2_2_std,1489.0,16.119164557693754,13.914678954272885,0.0,4.3125005,13.727152,25.265715,63.38017,63.38017,193.61829040048477
mfcc_s2_3_mean,1489.0,-13.464061134777536,20.65864351401695,-91.41614,-24.048986,-6.489972,0.0,38.82016,130.2363,426.7795518392346
mfcc_s2_3_std,1489.0,11.41200211882243,9.867339155702808,0.0,3.4619873,9.66258,17.69477,48.46042,48.46042,97.3643820136658
mfcc_s2_4_mean,1489.0,2.9289304383833445,12.806032208969683,-61.528996,-2.2225053,0.0,7.8858852,55.429863,116.95885899999999,163.99446093716892
mfcc_s2_4_std,1489.0,6.548759297678107,5.214446162104809,0.0,2.7519855,6.200419,9.511554,32.78308,32.78308,27.19044877748958
mfcc_s2_5_mean,1489.0,-2.977238257703969,8.961611769745797,-54.113235,-6.6934648,-0.0013266291,0.79955614,33.938908,88.052143,80.3104855116464
mfcc_s2_5_std,1489.0,5.384509693628744,4.220148086255267,0.0,2.5382626,4.9744263,7.799492,22.070736,22.070736,17.80964986992399
mfcc_s2_6_mean,1489.0,1.2401614865169537,8.161875782613867,-25.887337,-1.5832174,0.0,5.1062846,41.48529,67.372627,66.61621629081873
mfcc_s2_6_std,1489.0,4.785647972438341,3.5916615676326225,0.0,2.0992231,4.7611494,7.015205,19.162048,19.162048,12.900032816409228
mfcc_s2_7_mean,1489.0,-0.881812469379315,7.811280538825484,-38.875538,-4.1368966,0.0,2.1265059,27.928196,66.80373399999999,61.016103656233746
mfcc_s2_7_std,1489.0,4.484477566188247,3.3308832304443405,0.0,1.9984268,4.4269533,6.562965,16.954035,16.954035,11.094783094855327
mfcc_s2_8_mean,1489.0,0.2793844003419947,7.507231032928241,-31.690208,-2.22019,0.0,3.5367694,37.43255,69.122758,56.35851778176082
mfcc_s2_8_std,1489.0,4.225171448206515,3.259024234891593,0.0,1.8670499,4.1368256,6.087621,20.159742,20.159742,10.621238963610734
mfcc_s2_9_mean,1489.0,-0.49666033968761186,5.231873922349483,-21.523489,-2.8800616,0.0,1.199696,25.691767,47.215256,27.372504739360565
mfcc_s2_9_std,1489.0,4.024192683608501,3.134270467798687,0.0,1.5312606,4.0599027,5.6663384,22.299109,22.299109,9.823651365314998
mfcc_s2_10_mean,1489.0,0.2581378346575957,5.228890585079673,-17.686893,-1.5582396,0.0,1.7497239,29.508541,47.195434000000006,27.341296750734845
mfcc_s2_10_std,1489.0,3.834833835161451,3.093396959924757,0.0,1.558528,3.7190275,5.4659085,26.255854,26.255854,9.569104751671727
mfcc_s2_11_mean,1489.0,0.17504842584271327,5.11904475651856,-23.805382,-1.376975,0.0,2.1130915,41.026,64.831382,26.20461921924017
mfcc_s2_11_std,1489.0,3.7503685465453325,3.0667961060253335,0.0,1.4720335,3.5115163,5.378062,24.79735,24.79735,9.405238355932148
mfcc_s2_12_mean,1489.0,-0.4995503507650101,6.204158429130366,-31.99388,-1.6601108,0.0,1.5574632,36.011326,68.005206,38.49158181374938
mfcc_s2_12_std,1489.0,3.7525251327548688,3.1880458276083368,0.0,1.530198,3.5110455,5.3016877,24.09675,24.09675,10.163636198930925
mfcc_s2_13_mean,1489.0,0.5017774733340497,4.632983605146225,-18.46472,-1.1037576,0.0,2.2149458,29.888096,48.352816000000004,21.464537085553708
mfcc_s2_13_std,1489.0,3.526826648230087,2.8589561517289264,0.0,1.4640115,3.3818264,4.993604,22.18654,22.18654,8.173630277508671
mfcc_s3_1_mean,1489.0,-310.5983894159368,115.44742273053352,-625.0328,-393.53033,-342.66467,-206.68434,0.71047467,625.74327467,13328.107415122508
