dataset,filename,file_path,class,split,mfcc_s1_1_mean,mfcc_s1_1_std,mfcc_s1_2_mean,mfcc_s1_2_std,mfcc_s1_3_mean,mfcc_s1_3_std,mfcc_s1_4_mean,mfcc_s1_4_std,mfcc_s1_5_mean,mfcc_s1_5_std,mfcc_s1_6_mean,mfcc_s1_6_std,mfcc_s1_7_mean,mfcc_s1_7_std,mfcc_s1_8_mean,mfcc_s1_8_std,mfcc_s1_9_mean,mfcc_s1_9_std,mfcc_s1_10_mean,mfcc_s1_10_std,mfcc_s1_11_mean,mfcc_s1_11_std,mfcc_s1_12_mean,mfcc_s1_12_std,mfcc_s1_13_mean,mfcc_s1_13_std,mfcc_s2_1_mean,mfcc_s2_1_std,mfcc_s2_2_mean,mfcc_s2_2_std,mfcc_s2_3_mean,mfcc_s2_3_std,mfcc_s2_4_mean,mfcc_s2_4_std,mfcc_s2_5_mean,mfcc_s2_5_std,mfcc_s2_6_mean,mfcc_s2_6_std,mfcc_s2_7_mean,mfcc_s2_7_std,mfcc_s2_8_mean,mfcc_s2_8_std,mfcc_s2_9_mean,mfcc_s2_9_std,mfcc_s2_10_mean,mfcc_s2_10_std,mfcc_s2_11_mean,mfcc_s2_11_std,mfcc_s2_12_mean,mfcc_s2_12_std,mfcc_s2_13_mean,mfcc_s2_13_std,mfcc_s3_1_mean,mfcc_s3_1_std,mfcc_s3_2_mean,mfcc_s3_2_std,mfcc_s3_3_mean,mfcc_s3_3_std,mfcc_s3_4_mean,mfcc_s3_4_std,mfcc_s3_5_mean,mfcc_s3_5_std,mfcc_s3_6_mean,mfcc_s3_6_std,mfcc_s3_7_mean,mfcc_s3_7_std,mfcc_s3_8_mean,mfcc_s3_8_std,mfcc_s3_9_mean,mfcc_s3_9_std,mfcc_s3_10_mean,mfcc_s3_10_std,mfcc_s3_11_mean,mfcc_s3_11_std,mfcc_s3_12_mean,mfcc_s3_12_std,mfcc_s3_13_mean,mfcc_s3_13_std,delta_1_mean,delta_1_std,delta_2_mean,delta_2_std,delta_3_mean,delta_3_std,delta_4_mean,delta_4_std,delta_5_mean,delta_5_std,delta_6_mean,delta_6_std,delta_7_mean,delta_7_std,delta_8_mean,delta_8_std,delta_9_mean,delta_9_std,delta_10_mean,delta_10_std,delta_11_mean,delta_11_std,delta_12_mean,delta_12_std,delta_13_mean,delta_13_std,delta2_1_mean,delta2_1_std,delta2_2_mean,delta2_2_std,delta2_3_mean,delta2_3_std,delta2_4_mean,delta2_4_std,delta2_5_mean,delta2_5_std,delta2_6_mean,delta2_6_std,delta2_7_mean,delta2_7_std,delta2_8_mean,delta2_8_std,delta2_9_mean,delta2_9_std,delta2_10_mean,delta2_10_std,delta2_11_mean,delta2_11_std,delta2_12_mean,delta2_12_std,delta2_13_mean,delta2_13_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std
animal,animal_sounds_ggquang_Dog_21.wav,data/processed/audio/Dog/animal_sounds_ggquang_Dog_21.wav,Dog,train,-296.40457,94.71856,55.244793,47.61086,-9.225899,17.970587,-9.116811,11.125572,-7.654291,10.706583,-0.14465159,4.4153657,-6.961537,8.913276,-4.0694356,4.483635,-4.242275,5.210094,-2.175768,3.4254348,-0.17602205,2.4690635,-4.922266,5.1428027,-2.4424326,2.6470485,-387.4492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979903e-05,9.094947e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-387.4492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979903e-05,9.094947e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.440691,5.756147,-0.69621646,2.8389738,0.19973025,1.2138367,-0.0008343969,1.0458827,0.11042848,0.8237108,0.0238826,0.6103538,0.10767905,0.5539392,0.059442326,0.33180672,0.07303265,0.2999705,0.02125597,0.2789807,0.03888682,0.30196628,0.079467155,0.26239496,0.0069058593,0.22992925,-0.94495463,5.1768527,-0.17891583,1.3902106,0.23703717,1.3463604,-0.07819421,0.58009934,0.12089937,0.6386071,-0.04419549,0.35954568,0.079743356,0.45773432,-0.0022121782,0.16923462,0.03310274,0.21110326,0.022210093,0.17355338,0.012482928,0.18048649,0.044965666,0.26092848,-0.0131593095,0.12999469,179.99943489648172,364.01334663855096,159.37362030914932,327.8424549150219,280.00992063492066,570.2610366763488,0.01554749503968254,0.03206353136749951,0.00855024,0.03431766
animal,animal_sounds_ggquang_Cow_25.wav,data/processed/audio/Cow/animal_sounds_ggquang_Cow_25.wav,Cow,train,-105.59042,30.952251,121.22275,13.877886,-38.43924,7.8710756,50.766415,5.667437,-12.777333,4.7896447,-1.8041887,7.9103456,26.524382,4.589246,-6.6455245,3.6604025,13.388375,2.92871,-9.335629,4.3670936,-5.066359,3.6508849,11.1380205,2.2722454,-7.6153092,2.3393986,-246.53854,125.98133,55.481766,56.803078,-17.430904,19.31768,24.679684,25.389772,-5.326709,6.968087,0.21395352,5.2071323,11.488503,12.202228,-4.1191444,5.445798,7.357598,7.857891,-3.854943,5.059382,-3.2163274,4.800835,4.8803353,5.1207323,-3.4979742,4.564066,-369.24478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5054774,7.468024,-0.7070917,3.2902951,0.18270771,1.1409204,-0.32985437,1.6265763,0.026406027,0.6800281,-0.053284455,0.74098194,-0.13840441,0.70696115,0.11768208,0.6167654,-0.10980898,0.7310275,-0.00880947,0.58279896,0.027418427,0.39543983,-0.105787985,0.37480947,0.02273504,0.5151675,-0.15621199,3.16067,-0.07839059,1.4363683,-0.023495771,0.51644945,-0.066635415,0.738882,0.015821552,0.5041924,-0.0075167986,0.25698304,-0.006508632,0.29734525,0.02527581,0.36706555,-0.021006789,0.3629758,0.00015307608,0.26573342,0.008304003,0.20969057,0.0034186367,0.19961049,0.013619511,0.29625306,457.0832966514318,472.0897554194273,531.5741186368364,538.7424381745553,1152.529761904762,1186.785807207697,0.032947358630952384,0.03910688097841852,0.10696962,0.13059321
animal,animal_sounds_ggquang_inek_28.wav,data/processed/audio/Cow/animal_sounds_ggquang_inek_28.wav,Cow,train,-170.0743,32.11106,75.67998,14.488445,-60.427338,17.367458,32.705723,7.458255,2.783542,7.295646,29.672646,6.0734153,-12.0855255,4.626151,16.8581,3.9258366,-8.6304,4.22954,-0.53604317,3.6808782,-0.25384268,2.4131763,-11.440982,4.173307,5.1714683,4.620527,-299.25845,137.15999,42.96229,38.146736,-25.565458,29.093231,22.765415,19.542166,1.5876465,9.12436,18.977484,16.729424,-7.5602946,6.9998026,7.684425,7.598657,-3.1388562,4.0591493,0.787517,2.7029438,-0.53091294,2.3193924,-5.8414545,5.9072804,3.553054,4.5226917,-456.16412,3.0517578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979903e-05,9.094947e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6164303,8.046422,-0.41631335,2.348279,0.07736814,2.2213264,-0.29879972,1.6375306,0.13682514,1.1395874,-0.2007047,1.2862426,0.103773244,0.63338536,-0.10375259,0.6647596,-0.002914398,0.67449874,0.0060905484,0.46961832,-0.0005232323,0.3288877,0.041719362,0.59571797,0.008249917,0.4986809,-0.041821245,3.3367445,0.0074370136,1.0227218,-0.015151959,0.94330287,-0.034702193,0.78958946,-0.018316837,0.63124526,0.0073562823,0.6720523,0.057428714,0.5552241,-0.0025423935,0.42784408,-0.018286303,0.3997868,-0.034700092,0.35379738,0.00447794,0.25349393,0.041080214,0.35655168,0.03509798,0.34788543,782.3169695759608,762.8397310215347,626.0262432925545,621.1101252973982,1377.6041666666667,1411.82173047744,0.08617776537698413,0.08971515866889795,0.02591358,0.033337057
animal,animal_sounds_caoofficial_Kus_11.wav,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_11.wav,Bird,train,-176.71477,23.926672,-91.38263,23.794949,-52.15718,6.968534,-14.655742,8.022988,-16.213713,5.365014,-0.008907673,4.6247187,-13.925074,7.0995746,-1.9812726,7.5304365,1.8162866,6.4702387,-1.2568214,6.6812043,4.123458,6.6379232,0.9304064,4.404111,0.8919116,3.1359036,-168.15028,17.410795,-98.8556,15.452019,-49.735603,7.0164857,-16.067944,6.6778936,-14.282762,3.5860357,-2.8762698,4.1759024,-15.408769,5.5292435,-1.2404443,6.687177,1.5817988,5.1947246,-2.0373096,7.238404,6.1095676,7.3474584,0.05429259,4.5327845,-0.6533338,4.087041,-279.95178,114.822395,-49.85991,39.83011,-31.631405,24.35488,-13.742765,13.402798,-7.056366,6.6223946,-2.8963866,4.5819926,-6.9977837,7.5359483,-4.83415,6.7492423,2.6547937,7.2871356,1.2502452,5.047825,0.4707347,4.5331006,3.1672564,4.5859766,-0.84415025,2.5570555,-1.7119956,7.646557,0.36294428,3.072071,0.36921936,1.7451582,0.16360952,1.4257827,0.05811132,0.69470525,0.0040957793,0.64270175,0.07547825,0.8324889,0.016207341,0.8662669,0.01630975,0.72662026,-0.05874042,0.7543877,0.017354162,0.71090543,-0.009690054,0.5863572,-0.0023270482,0.46424872,0.02178473,3.5233202,0.025802333,1.6028092,0.07765816,0.9991682,0.04367208,0.75194937,0.03570859,0.47464943,-0.0036436566,0.53194964,0.023488145,0.56884855,0.044298284,0.6348731,-0.018376684,0.6338313,0.035688166,0.5782321,-0.0506833,0.5542096,-0.012898143,0.44903395,-0.001994763,0.3505484,3733.2471502125104,1425.5828503490645,1422.9353909023791,555.8672153280078,5317.708333333333,2055.763446862106,0.4401739211309524,0.1758321452448877,0.06494359,0.050218932
animal,animal_sounds_caoofficial_esek_5.wav,data/processed/audio/Donkey/animal_sounds_caoofficial_esek_5.wav,Donkey,train,-98.972374,31.361639,89.910095,19.412302,-62.343273,12.848853,20.567348,9.968409,-20.688374,8.240755,-1.0219294,10.77255,0.8280851,5.7314143,-0.6828707,6.5999937,5.368061,4.867112,4.189881,7.0459647,-5.3882995,5.4793334,-5.5215735,4.968268,-5.273597,7.45996,-353.2136,25.232218,1.498821,9.597138,-0.6301143,4.0347,0.37026882,2.3708773,-0.32615796,2.0884302,0.19052792,1.2199739,0.044394404,0.28426287,-0.00965632,0.061830625,0.12302483,0.7877432,0.10362176,0.66350305,-0.05492854,0.35171422,-0.11849056,0.7587097,-0.14054471,0.8999252,-357.1542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6377002,8.833099,-0.60352033,3.5474224,0.31593436,2.4809563,-0.152643,0.98855036,0.08169252,1.2548103,-0.0035743031,1.0532402,0.0930493,0.6865129,0.0030713293,0.6258682,-0.112723164,0.4129461,-0.10293985,0.68017095,0.023103258,0.6767932,-0.0097395545,0.61985314,0.028452491,0.767384,-0.1893376,3.5892532,-0.01246443,1.4341967,0.089796714,1.1260825,-0.004528871,0.38355625,0.103685915,0.65164053,0.046817854,0.40382755,-0.03637268,0.37591434,0.0076240697,0.36108604,-0.016184587,0.26189807,-0.06584594,0.5920585,-0.03558863,0.4410259,-0.0050036227,0.39649037,0.03542719,0.40365368,465.34079259977295,675.4942987121049,311.112912411407,439.39654506055587,760.4166666666666,1095.610308533414,0.048463851686507936,0.07780723583900738,0.07990002,0.132091
animal,animal_sounds_caoofficial_inek_53.wav,data/processed/audio/Cow/animal_sounds_caoofficial_inek_53.wav,Cow,train,-105.59042,30.952251,121.22275,13.877886,-38.43924,7.8710756,50.766415,5.667437,-12.777333,4.7896447,-1.8041887,7.9103456,26.524382,4.589246,-6.6455245,3.6604025,13.388375,2.92871,-9.335629,4.3670936,-5.066359,3.6508849,11.1380205,2.2722454,-7.6153092,2.3393986,-246.53854,125.98133,55.481766,56.803078,-17.430904,19.31768,24.679684,25.389772,-5.326709,6.968087,0.21395352,5.2071323,11.488503,12.202228,-4.1191444,5.445798,7.357598,7.857891,-3.854943,5.059382,-3.2163274,4.800835,4.8803353,5.1207323,-3.4979742,4.564066,-369.24478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5054774,7.468024,-0.7070917,3.2902951,0.18270771,1.1409204,-0.32985437,1.6265763,0.026406027,0.6800281,-0.053284455,0.74098194,-0.13840441,0.70696115,0.11768208,0.6167654,-0.10980898,0.7310275,-0.00880947,0.58279896,0.027418427,0.39543983,-0.105787985,0.37480947,0.02273504,0.5151675,-0.15621199,3.16067,-0.07839059,1.4363683,-0.023495771,0.51644945,-0.066635415,0.738882,0.015821552,0.5041924,-0.0075167986,0.25698304,-0.006508632,0.29734525,0.02527581,0.36706555,-0.021006789,0.3629758,0.00015307608,0.26573342,0.008304003,0.20969057,0.0034186367,0.19961049,0.013619511,0.29625306,457.0832966514318,472.0897554194273,531.5741186368364,538.7424381745553,1152.529761904762,1186.785807207697,0.032947358630952384,0.03910688097841852,0.10696962,0.13059321
animal,animal_sounds_caoofficial_cat_177.wav,data/processed/audio/Cat/animal_sounds_caoofficial_cat_177.wav,Cat,train,-236.80167,102.089294,21.422506,23.657099,-14.094796,22.350864,-1.5845664,10.864474,-4.4549494,6.5837693,-5.436311,8.643816,-1.8493267,4.3822308,-4.565719,7.406465,-2.0753217,8.05759,3.4116328,9.352934,7.053126,8.975589,11.649068,15.378114,7.5424137,12.657358,-331.54904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979903e-05,9.094947e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-331.54904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979903e-05,9.094947e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7611147,5.5055757,-0.2745584,1.9273555,0.39672327,1.5685478,-0.21545093,1.3550005,0.040281743,0.685947,0.24545208,1.0473213,0.06832758,0.5656444,0.15422164,0.51935345,0.025015919,0.9703572,-0.17426376,1.4371829,-0.14821492,0.8973048,-0.21441363,1.0365547,-0.054457862,1.2521363,-0.12712117,2.17747,0.032922897,0.73633397,0.057801437,0.591336,-0.053622857,0.58075225,0.0038859465,0.327162,0.043320276,0.61353916,0.0030117016,0.41125157,0.054728385,0.44522768,0.03998445,0.5691075,0.006241704,0.66378087,0.054549385,0.49132943,-0.02605523,0.41079733,-0.10066789,0.605984,225.6015927221413,535.6021960900854,193.62035943896745,465.9181985607276,341.1458333333333,897.509657195634,0.020213293650793652,0.049618520633500945,0.04092703,0.10908869
animal,animal_sounds_ggquang_inek_41.wav,data/processed/audio/Cow/animal_sounds_ggquang_inek_41.wav,Cow,train,-44.41027,41.06601,78.33395,11.208013,-46.001415,16.24006,29.988241,8.905111,-21.651985,7.469426,18.508282,7.4808207,-9.119984,5.2551036,7.7395515,6.2742248,-13.290529,6.3928027,-7.106353,5.6000185,5.7938404,5.866276,-6.210604,3.5569606,3.7072866,2.917869,-167.07089,148.69194,43.692425,37.08952,-31.271542,28.310623,14.867632,14.599557,-6.95746,8.426761,6.500248,7.399627,-2.67623,4.3724637,0.42551208,3.2568054,-7.629037,8.044426,-0.87931377,3.0896878,0.51536816,2.244517,-3.0676923,3.204648,2.4552195,3.5148244,-338.58597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979903e-05,9.094947e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.301917,9.746577,-0.36332208,2.8792381,0.0930711,2.035921,-0.25737852,1.3770945,0.14248542,1.112628,-0.11170193,0.8938319,0.07687185,0.62048376,-0.007183516,0.7638149,0.053849876,0.748529,0.052142356,0.65769887,-0.07950344,0.5273827,0.013374751,0.5300447,-0.032362137,0.50815386,-0.33367714,2.8564863,-0.028946998,1.3539954,0.079951726,0.979474,-0.054560594,0.91850543,0.04269645,0.58037865,-0.028356116,0.5749796,0.001747892,0.4332058,-0.033389807,0.4528193,0.0067161964,0.33559683,-0.0067019975,0.3092647,-0.006033235,0.2698348,0.010103805,0.29337078,0.0047791842,0.2407707,880.4528190080374,835.8410910513879,642.4515652358107,617.2049475672244,1577.5049603174602,1521.0313094723058,0.08003937251984126,0.07877905861377049,0.14451726,0.16512837
animal,animal_sounds_ggquang_dog_27 (2).wav,data/processed/audio/Dog/animal_sounds_ggquang_dog_27 (2).wav,Dog,train,-111.40785,137.18678,51.131027,23.799633,-15.171501,17.090563,-9.147516,12.141136,-9.5466175,8.405765,-1.3494222,6.5291967,-2.3326397,5.5466566,1.0390859,3.7695816,-2.167574,5.593353,3.767799,4.732464,-0.6071227,4.7704706,-2.1078513,4.764017,-1.9605627,4.9053826,-332.68155,0.67281425,0.9339707,0.95077103,0.9318099,0.9485713,0.92821246,0.9449093,0.9231836,0.93978983,0.91673154,0.93322164,0.90886563,0.9252144,0.89959854,0.9157805,0.888944,0.9049344,0.87691927,0.8926933,0.8635421,0.8790756,0.84883356,0.86410236,0.832816,0.8477967,-333.34244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090653464,13.850456,-0.45578587,2.320136,-0.14392044,1.8595624,-0.021700837,1.3099194,0.042291302,0.85260135,0.020617727,0.42337313,0.03260595,0.5348647,-0.001015612,0.35653907,-0.014807917,0.45183524,-0.025497375,0.51976204,-0.04000639,0.4464475,5.4848337e-05,0.38310856,0.007819755,0.4284062,-0.45979705,4.470728,-0.052075446,1.5179455,0.0973108,0.81292605,-0.038434923,0.72854686,0.021733908,0.34310928,0.012120156,0.4353017,0.019034434,0.36558467,-0.004552127,0.19993025,0.032650147,0.37381297,0.022175966,0.29522863,0.0055948496,0.17772798,0.009169464,0.22502105,0.0053954236,0.31964123,592.7562127228862,744.2694448184274,830.4042834216668,798.6285914285934,1040.4265873015872,1691.4810911047573,0.032683841765873016,0.05198539412024276,0.09265398,0.2032085
animal,animal_sounds_caoofficial_inek_70.wav,data/processed/audio/Cow/animal_sounds_caoofficial_inek_70.wav,Cow,train,-66.082306,49.50755,93.45498,10.152476,-66.77597,13.332064,8.738856,8.604502,-14.379933,6.1964874,-6.698088,3.9239557,14.565263,4.7581625,-12.013301,5.3386674,-1.6240393,5.936497,-11.188457,4.414394,-5.001031,4.2046638,4.9071693,2.8443246,-9.223693,6.272263,-287.7548,85.475235,18.217377,36.621098,-9.885487,19.71646,1.781246,5.222718,-2.942057,5.8815475,-1.3651186,3.2780612,1.9934734,4.0989676,-2.2068994,4.7193446,0.6100999,1.6373184,-1.041411,2.7755733,-1.4734323,3.2161548,0.24272592,0.7968776,-1.9261137,3.923347,-330.19507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.110394,7.9227676,-0.52148515,3.0680425,0.3115356,2.0103402,-0.04776929,0.93358856,0.0063577397,0.7361218,-0.019792292,0.5275832,-0.13100037,0.622832,0.028489476,0.60941374,0.018045096,0.5118972,0.054545194,0.44151244,0.031680305,0.39932635,-0.04343342,0.32638806,0.030670866,0.7515251,-0.16675125,2.6484802,-0.057589877,1.1121364,0.063783824,0.84543663,-0.020052638,0.77079433,0.00054037,0.42253754,0.0026328843,0.2327677,-0.026900299,0.40225518,0.013850829,0.34249225,0.019283209,0.27815503,-0.0014588255,0.2266157,0.0010195838,0.22663078,0.016966669,0.2246686,0.010084326,0.2944845,563.0449805139436,688.6923800088608,359.79474720765694,441.0593908415882,924.9751984126984,1133.3191427267054,0.05799696180555555,0.07256684471370514,0.118801646,0.19692434
