dataset,file_path,class,split
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_21.wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_Cow_25.wav,Cow,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_inek_28.wav,Cow,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_11.wav,Bird,train
animal,data/processed/audio/Donkey/animal_sounds_caoofficial_esek_5.wav,Donkey,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_53.wav,Cow,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_177.wav,Cat,train
animal,data/processed/audio/Cow/animal_sounds_ggquang_inek_41.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_dog_27 (2).wav,Dog,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_70.wav,Cow,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_Dog_5.wav,Dog,train
animal,data/processed/audio/Frog/animal_sounds_caoofficial_kurbaga_14.wav,Frog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_87.wav,Bird,train
animal,data/processed/audio/Cat/animal_sounds_caoofficial_cat_149.wav,Cat,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_4-99193-A.wav,Frog,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_35.wav,Bird,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (99).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_ggquang_3-155312-A.wav,Dog,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_Frog_42.wav,Frog,train
animal,data/processed/audio/Cow/animal_sounds_caoofficial_inek_60.wav,Cow,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_32.wav,Sheep,train
animal,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (81).wav,Bird,train
animal,data/processed/audio/Dog/animal_sounds_caoofficial_dog_62.wav,Dog,train
animal,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_7.wav,Sheep,train
animal,data/processed/audio/Frog/animal_sounds_ggquang_2-52789-A.wav,Frog,train
