,Bird,Cat,Chicken,Cow,Dog,Donkey,Frog,Lion,Monkey,Sheep,car_horn,crying_baby,door_wood_knock,glass_breaking,siren
Bird,27,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Cat,0,26,1,0,0,0,0,0,0,0,0,1,0,1,1
Chicken,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0
Cow,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
Dog,0,1,2,1,56,0,0,0,1,1,0,0,0,0,0
Donkey,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Frog,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
Lion,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0
Monkey,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Sheep,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0
car_horn,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0
crying_baby,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0
door_wood_knock,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
glass_breaking,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
siren,0,0,0,3,1,0,0,0,0,0,2,0,0,0,2
