model,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1
Scaled_LogisticRegression_Balanced,0.8765957446808511,0.8262141427543904,0.7995901639344262,0.8049381023129633,0.8730551317425623,0.8516949152542372,0.7681856148389006,0.7411674347158218,0.7426988424146176,0.8463437778002637
Scaled_LogisticRegression,0.8723404255319149,0.8520541932620044,0.7756466302367943,0.7972672887329444,0.8661563521852373,0.8559322033898306,0.7959186819551046,0.723873527905786,0.7419838273339779,0.8442569777730576
PCA_LogisticRegression_Balanced,0.8468085106382979,0.8032343403311145,0.7904202446005725,0.7823026973425293,0.8452498906640074,0.8347457627118644,0.7622917178700408,0.7213620071684588,0.7289493819205773,0.8328505254583386
PCA_LogisticRegression,0.851063829787234,0.8426440053367033,0.7514949258391881,0.7671569223023131,0.8413182177603413,0.847457627118644,0.7731342441706668,0.7094649257552483,0.7247893382054337,0.8344928756417044
PCA_SVM_Balanced,0.8042553191489362,0.7513085195309304,0.7756700494405412,0.7530902171945736,0.8080399261748881,0.8008474576271186,0.7397315864557243,0.7280056323604711,0.7183051681418992,0.7993559661440172
Scaled_SVM_Balanced,0.8170212765957446,0.7509599865123076,0.7688446526151443,0.7494973714654333,0.8155410803987824,0.8135593220338984,0.7783754820195498,0.7293189964157705,0.737460573571506,0.8097410443586032
Scaled_SVM,0.8340425531914893,0.8205106315237709,0.6634061930783243,0.7108345934700477,0.8177441958272332,0.8008474576271186,0.7690209181376756,0.6181669226830517,0.6486609828881522,0.767641643599723
PCA_SVM,0.825531914893617,0.8190552253315226,0.6413427010148322,0.6897431803786347,0.8072019989020576,0.7966101694915254,0.766600412729445,0.6098335893497183,0.6410338322167053,0.7640657888864573
LogisticRegression_Balanced,0.7914893617021277,0.7126911976911977,0.6444925839188135,0.6599192726465454,0.7834188248888443,0.7838983050847458,0.7325065794331163,0.6234254992319509,0.648142428526756,0.7716667400804945
SVM_Balanced,0.2851063829787234,0.2977934203830467,0.4025214676034349,0.24947717632282057,0.253672895417362,0.2457627118644068,0.21810148198221965,0.38339901477832516,0.23485498523362672,0.21506837196216505
