mfcc_s1_1_mean,mfcc_s1_1_std,mfcc_s1_2_mean,mfcc_s1_2_std,mfcc_s1_3_mean,mfcc_s1_3_std,mfcc_s1_4_mean,mfcc_s1_4_std,mfcc_s1_5_mean,mfcc_s1_5_std,mfcc_s1_6_mean,mfcc_s1_6_std,mfcc_s1_7_mean,mfcc_s1_7_std,mfcc_s1_8_mean,mfcc_s1_8_std,mfcc_s1_9_mean,mfcc_s1_9_std,mfcc_s1_10_mean,mfcc_s1_10_std,mfcc_s1_11_mean,mfcc_s1_11_std,mfcc_s1_12_mean,mfcc_s1_12_std,mfcc_s1_13_mean,mfcc_s1_13_std,mfcc_s2_1_mean,mfcc_s2_1_std,mfcc_s2_2_mean,mfcc_s2_2_std,mfcc_s2_3_mean,mfcc_s2_3_std,mfcc_s2_4_mean,mfcc_s2_4_std,mfcc_s2_5_mean,mfcc_s2_5_std,mfcc_s2_6_mean,mfcc_s2_6_std,mfcc_s2_7_mean,mfcc_s2_7_std,mfcc_s2_8_mean,mfcc_s2_8_std,mfcc_s2_9_mean,mfcc_s2_9_std,mfcc_s2_10_mean,mfcc_s2_10_std,mfcc_s2_11_mean,mfcc_s2_11_std,mfcc_s2_12_mean,mfcc_s2_12_std,mfcc_s2_13_mean,mfcc_s2_13_std,mfcc_s3_1_mean,mfcc_s3_1_std,mfcc_s3_2_mean,mfcc_s3_2_std,mfcc_s3_3_mean,mfcc_s3_3_std,mfcc_s3_4_mean,mfcc_s3_4_std,mfcc_s3_5_mean,mfcc_s3_5_std,mfcc_s3_6_mean,mfcc_s3_6_std,mfcc_s3_7_mean,mfcc_s3_7_std,mfcc_s3_8_mean,mfcc_s3_8_std,mfcc_s3_9_mean,mfcc_s3_9_std,mfcc_s3_10_mean,mfcc_s3_10_std,mfcc_s3_11_mean,mfcc_s3_11_std,mfcc_s3_12_mean,mfcc_s3_12_std,mfcc_s3_13_mean,mfcc_s3_13_std,delta_1_mean,delta_1_std,delta_2_mean,delta_2_std,delta_3_mean,delta_3_std,delta_4_mean,delta_4_std,delta_5_mean,delta_5_std,delta_6_mean,delta_6_std,delta_7_mean,delta_7_std,delta_8_mean,delta_8_std,delta_9_mean,delta_9_std,delta_10_mean,delta_10_std,delta_11_mean,delta_11_std,delta_12_mean,delta_12_std,delta_13_mean,delta_13_std,delta2_1_mean,delta2_1_std,delta2_2_mean,delta2_2_std,delta2_3_mean,delta2_3_std,delta2_4_mean,delta2_4_std,delta2_5_mean,delta2_5_std,delta2_6_mean,delta2_6_std,delta2_7_mean,delta2_7_std,delta2_8_mean,delta2_8_std,delta2_9_mean,delta2_9_std,delta2_10_mean,delta2_10_std,delta2_11_mean,delta2_11_std,delta2_12_mean,delta2_12_std,delta2_13_mean,delta2_13_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_energy_mean,rms_energy_std,filename,class,fold
-260.90622,148.26213,19.749134,23.63729,-17.22279,21.00077,2.766285,3.8023016,0.75881183,2.715548,-0.21036512,2.1869028,1.3644753,2.225183,2.8756979,4.213201,-1.6576227,3.563582,0.16154814,2.042641,0.23308548,1.9842461,-0.16981837,1.6378702,-0.5854322,2.2226236,-386.1156,3.0517578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-386.1156,3.0517578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2979902e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9303983,8.185134,-0.3084359,1.575755,0.26588953,1.103279,-0.039797224,0.20972593,-0.021459814,0.3014991,-0.016824689,0.21079986,-0.0053866333,0.18155494,-0.00014057395,0.33732423,0.053371932,0.26631725,0.018233804,0.16432346,-0.0026980161,0.16414653,-0.0027239502,0.094919905,-0.015529107,0.21417782,-0.25794086,3.7577767,0.084872395,0.8195616,0.07362879,0.5768907,-0.025360871,0.16960014,0.027735656,0.23038945,0.00057772314,0.16830404,-0.005613478,0.09024349,0.005879261,0.20917767,0.022367379,0.19705452,0.017528143,0.19065523,0.020725938,0.14465363,-0.0017462927,0.077291854,-0.016572496,0.21258117,275.15218949468823,667.2363225707743,200.80351560023385,492.5484092588396,429.6377388535032,1058.7108463068287,0.028531797372611464,0.07183847767429673,0.01321801,0.0449346,1-17124-A-43.wav,car_horn,1
-184.04733,119.75907,44.840862,24.053339,-9.051217,16.305563,-1.7999467,9.53718,-3.6916366,9.15391,-4.0836115,9.482641,3.0552866,7.729499,-6.545945,11.17802,-8.811174,11.738805,-5.8016405,6.38566,-4.8365197,3.7717395,-0.14003836,3.4032614,6.4527335,3.6316466,-372.3626,20.367191,10.006407,21.914225,4.4761434,9.860927,1.5431457,3.4816575,0.8803711,2.0155504,0.7136869,1.8858469,0.733435,1.7916913,0.72705144,2.0673912,0.51910025,1.7217413,0.4190259,1.3634602,0.6490417,1.934821,0.85882217,2.1079457,0.6556351,1.6378915,-381.65894,9.1552734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2979902e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8199968,6.5917106,-0.12486134,2.427977,0.012430312,1.4249281,0.04151477,0.7684653,0.03264654,0.60012406,0.029165527,0.67703897,0.019205894,0.5912488,0.10374096,0.68635434,0.15080333,0.7960682,0.07174391,0.48354095,-0.020227334,0.5536219,-0.0037089458,0.41817018,-0.0035978593,0.30100444,-0.7663795,5.414383,0.16795182,1.5298377,0.09051055,0.7651549,0.04186253,0.49241376,0.051798686,0.43195066,0.051137522,0.4299295,0.04724459,0.43133634,0.061674234,0.56125903,0.08509522,0.798894,0.042843927,0.42632163,0.0051885047,0.3200505,0.023083469,0.26013324,-0.0037766658,0.19887511,586.2032428296368,857.076933895436,650.0992116785396,825.9491477931386,1172.5716560509554,1772.2092404677187,0.0390562798566879,0.06141226274974704,0.035930835,0.1008045,1-19026-A-43.wav,car_horn,1
-102.02608,20.446627,65.28245,11.935286,-30.328297,6.6333513,15.015972,4.190429,-0.77303874,6.4734006,5.080915,3.7430942,13.488903,3.8876753,0.18844485,4.2894096,1.9990398,3.1233,3.683378,2.9467142,-5.5051007,3.5791526,1.1763635,3.3906088,1.8537904,3.1843174,-105.92232,18.944199,60.88985,15.278624,-26.336937,6.6251817,20.715605,8.114694,-4.323125,8.246531,4.082748,4.175671,16.936474,3.6414545,-4.3480935,4.363264,0.6608533,2.6024806,6.348599,3.2760491,-6.312769,2.5793033,0.8188726,2.715871,3.5078034,2.6352718,-71.53359,13.155585,59.39609,4.426267,-38.757946,3.306055,3.991448,9.182534,-1.04513,4.565753,9.785346,5.0341077,13.5239105,3.5761192,-2.248013,4.6516275,-1.0532337,3.9975827,1.3142765,4.5831122,-5.1504083,3.493584,-0.93498236,4.4291854,1.2994794,3.6254623,0.5689782,2.991823,-0.17858319,1.6813446,-0.21012118,0.9878012,0.01913652,0.9833589,-0.12880665,0.89903665,0.0068205935,0.73305273,0.08618646,0.58748806,-0.07170141,0.7236679,0.03511071,0.53084934,0.03409906,0.6475092,-0.04836631,0.44182628,-0.043227762,0.5316738,-0.04462147,0.57313085,-0.15731503,1.127185,0.01784956,0.7517498,0.027490182,0.50664234,-0.015858646,0.48274347,0.06300679,0.5454038,0.0022694473,0.524244,-0.043546483,0.39899954,0.019005295,0.46806487,-0.029505316,0.36195475,-0.0015793921,0.48364887,0.039548118,0.35670254,-0.02456927,0.40861592,-0.008939388,0.41506943,1548.1549388043572,295.71556990200594,1289.7750257291377,103.3173085924585,2701.433121019108,385.1772979571834,0.1715142316878981,0.05894252110071568,0.09873329,0.05799559,1-24074-A-43.wav,car_horn,1
-64.46744,44.742737,45.466953,13.879832,-11.370039,11.988572,8.4343405,3.6061683,2.8260474,4.0793805,2.3913205,7.779309,4.3940377,3.701053,7.7336283,2.7830846,1.3772634,4.228604,-0.8613688,5.7742143,-2.639389,6.5915823,-2.150982,3.2231736,3.0333502,3.1788614,-43.55397,32.419823,38.698563,15.2054825,-17.404661,5.446885,4.276335,4.19608,2.1652,3.943224,3.225056,3.2882886,7.720007,4.5309362,4.572974,3.4042122,5.933836,3.4744172,1.7497239,3.507737,-6.07438,5.013236,-3.275569,4.4350986,1.0417422,3.7713647,-83.72671,17.005543,52.04948,9.636217,-18.99262,3.3927681,7.8244414,5.0144634,3.8841763,2.8793106,4.3535604,2.6912405,6.7275634,3.2507,6.6226635,3.1644263,7.443667,3.2945364,2.6656191,3.0724666,-3.487341,3.472822,0.80457586,2.9970503,1.557213,2.2840025,0.049372192,4.335933,0.032247093,1.9650539,-0.11464385,1.0056361,0.007927798,0.81291676,0.011148405,0.5701886,-0.022878526,0.7329774,0.0016056178,0.6345352,-0.012994201,0.52749234,0.024839744,0.5537084,0.018277183,0.6485197,0.020076843,0.7679073,0.0066689565,0.5835579,-0.0062136683,0.50287455,0.04596353,1.6851978,-0.06532437,0.89214563,0.04773449,0.5078809,-0.026138976,0.49776623,0.010623568,0.39661217,-0.0043819747,0.3854735,0.011114143,0.4365555,-0.0067640883,0.3635946,-0.006277994,0.32815555,-0.023828963,0.40375456,-0.012907025,0.4270018,0.024529194,0.41794968,0.0041973484,0.35623646,1755.1610225118493,324.42541677405,1699.5450332275752,145.35532355999598,3403.562898089172,540.3174816864287,0.14373507165605096,0.05797613365050868,0.13801907,0.08433975,1-24076-A-43.wav,car_horn,1
-44.80516,29.84461,42.76564,24.624596,-5.397446,7.9267716,31.373543,9.894945,-0.17931677,8.934098,-9.111569,9.602969,9.04339,5.798546,0.45277163,5.220196,-8.612027,7.2442374,0.8172921,3.4496481,-5.589813,4.6095867,1.2415885,3.890941,-1.7465485,4.359494,-150.6575,21.461672,87.03858,2.8986936,3.0349848,3.2939622,23.590847,2.5177953,15.764517,3.6059144,12.234228,2.2728674,3.0627534,2.1327477,5.0789523,2.1353536,6.989387,2.0745528,0.58014846,2.0893164,-0.75912726,2.344661,1.6657951,2.0570495,-0.49146593,1.9960005,-183.12935,4.4873943,91.76784,2.6660159,-5.195445,3.7863188,17.813496,4.0915165,10.994557,2.2662773,10.909362,2.2970018,1.9430394,1.9267821,3.6988342,2.4708245,6.8643956,2.408091,-1.0079683,1.8072338,-2.1020198,1.9818809,0.43869916,1.8101919,1.2709969,1.8843106,-0.62793696,2.5504405,0.32833302,1.5889236,0.10884443,0.801912,-0.16293228,1.0878363,0.054287545,1.0797583,0.16720434,1.0137806,-0.11829359,0.8178139,0.0074232887,0.54274946,0.1510389,0.69924724,-0.030791301,0.41120115,0.0072977226,0.34001452,-0.020602511,0.40366748,-0.014278965,0.53981775,-0.033061676,0.62621677,-0.025340557,0.4908282,0.012425011,0.45688394,0.026478343,0.4667722,-0.0046102805,0.48722494,0.016733719,0.42610446,-0.02456925,0.396049,-0.009504864,0.30916843,-0.005223721,0.3706767,-0.017185736,0.3152295,0.013375252,0.3032503,0.0015654431,0.30930465,0.017934978,0.3097063,1056.459747406683,629.3263498317167,1228.5048293806617,247.25371213914318,1945.1632165605095,928.6867084869829,0.08741167396496816,0.10343741046997115,0.15674958,0.15203534,1-254507-A-43.wav,car_horn,1
-169.63052,154.81015,17.326603,26.842047,1.7578403,5.007436,9.796049,10.090216,-7.8606744,9.055982,-0.40452254,3.2576652,4.508608,5.260722,-4.1703787,6.9593782,5.718705,5.28436,-1.2506589,5.224854,-0.11566191,4.3539543,-0.7471193,3.2984493,-2.9146929,4.433766,-418.66553,6.1035156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-418.66553,6.1035156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3320553,8.502396,0.064815246,2.2142582,-0.050800674,0.3357744,-0.114269584,0.6071876,0.1259739,0.4168213,0.02394277,0.38152447,-0.09802179,0.29214725,0.05268648,0.491393,-0.08050468,0.22752109,0.041405458,0.35927692,0.018666375,0.34052122,0.03479248,0.315642,0.014937974,0.3578733,0.006904819,3.7407482,0.025551949,0.89745283,-0.008929118,0.23988731,-0.022538258,0.2581418,0.018093495,0.28337407,-0.019904641,0.2571998,0.003902988,0.19525224,0.023813901,0.23926932,0.017996468,0.18684691,-0.0072200852,0.18834725,0.0054328428,0.22825207,-0.035630554,0.26357096,-0.00019742805,0.17154202,640.1363271774628,1184.0682632167918,471.51051332215053,823.5758707064921,1165.6050955414012,2102.1390100792496,0.06796750597133758,0.13859856568315052,0.03001148,0.06849338,1-26176-A-43.wav,car_horn,1
-37.542923,8.6286,40.37925,4.0315433,-31.757092,3.2973585,-9.720954,3.2732673,-20.200436,3.4527168,-9.675961,3.807427,-8.481386,3.1153107,-11.564922,3.820279,-10.92456,3.4071279,-11.396117,3.6616585,-6.9295425,3.0622902,-5.2977424,2.7225108,-1.1632841,4.1195436,-357.2258,107.46125,3.9446394,11.002748,-2.4945948,6.966307,-1.2424036,3.606801,-2.2336087,6.2191,-0.8795173,2.6755393,-1.488756,4.1554894,-0.7917312,2.4770827,-1.1482954,3.3327336,-1.1996527,3.4624596,-0.6345879,1.7881927,-0.074603565,1.2438205,-0.38705143,1.4640115,-396.0046,9.1552734e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1523933,9.839384,-0.23782392,1.1038659,0.16933261,0.75550973,0.055871695,0.48455742,0.101209916,0.6564743,0.06320195,0.4363281,0.063988775,0.47766203,0.08918774,0.41105846,0.034100752,0.52842724,0.020347167,0.48260894,0.027928546,0.33244213,0.022392655,0.29191628,0.037070062,0.4607393,-0.09858919,4.2858653,-0.004446859,0.5809348,0.0007965185,0.35280734,0.0006487582,0.32157376,0.013899172,0.35458905,0.008470397,0.25838366,0.021737766,0.31665197,0.010747916,0.3228176,0.013215055,0.29419884,0.0050248145,0.24446331,0.0023903877,0.2345566,-0.01487738,0.25811064,-0.014229507,0.27064157,712.3167256034804,929.6275258075335,608.8651147212274,790.5997129134646,1340.1671974522294,1756.0106632232985,0.061710041799363055,0.08157369186748653,0.06545257,0.09064777,1-26177-A-43.wav,car_horn,1
-38.189102,18.753109,39.792744,9.046884,-30.919975,4.5764503,10.087565,3.6682696,-5.398405,3.9162574,8.519341,5.963903,2.798519,3.7135828,-4.9761763,3.582512,-3.5524127,4.3743052,-3.6617677,4.245334,0.41859075,4.0603247,1.3737123,2.7232392,2.3200192,3.7103786,-49.873272,11.392623,48.7643,5.892822,-18.814047,7.8236423,7.4413548,2.8652525,0.41306394,3.40493,14.80483,3.611898,3.0481656,3.1575575,-1.2396979,3.2713778,-2.3195665,2.9222918,2.7714205,3.9129899,1.7934984,3.0103364,1.9291937,2.897798,-0.5767312,3.566906,-40.18061,9.026418,54.330257,4.8466315,-20.55898,5.2555566,9.164311,3.917988,-1.9961514,3.888548,14.360972,3.722665,2.1286108,3.2675018,-2.09832,4.91309,-1.269727,3.1463444,1.163358,2.7685232,1.0598403,2.581375,0.73941463,3.048047,1.1100572,3.5675375,-0.2353272,2.6872816,0.15954876,1.0963974,0.08232627,0.9017048,0.024214469,0.55086267,0.02777625,0.5464171,0.08266339,0.71906364,-0.02809645,0.5432896,-0.00998412,0.7546144,0.035548776,0.59559464,0.059843466,0.6177125,0.004691165,0.5737738,-0.030642694,0.4631585,-0.007710214,0.6337221,-0.11202562,1.6260803,0.01474888,0.7434799,0.014587244,0.53050005,0.0042523732,0.48179096,-0.01202998,0.40807053,0.00031340806,0.5890683,0.00015214902,0.44300473,0.009583519,0.4249596,0.036723897,0.46586925,0.019935016,0.4482649,0.013426728,0.40314087,0.02611806,0.34642926,0.025573518,0.45654407,1785.5505021443118,196.99116551278058,1558.4074045108412,96.33936049983961,3405.8519108280257,275.6257641574311,0.15769307324840764,0.03129207155100845,0.17102195,0.047016606,1-28808-A-43.wav,car_horn,1
-57.656467,24.469416,24.91725,26.288567,-4.40666,5.172311,11.491882,7.670293,-0.2975873,9.872289,-14.639553,8.661545,3.5744746,7.176323,-5.109666,7.7895246,-4.8572655,4.3300776,0.14344175,6.4371457,0.81968904,7.3785267,-3.329957,6.2538433,-2.6345494,5.4342847,-52.357346,12.553189,37.58702,10.432209,0.25088847,3.120337,1.9178791,7.5289626,-1.2549455,3.4936602,-6.483179,4.1208515,-0.353596,4.027065,-5.075559,4.906163,-5.046328,2.9628685,-2.8002868,3.063214,0.37964767,2.6333008,1.7446295,3.062397,-3.8684363,2.4759345,-54.439034,5.609599,40.633842,3.8445106,2.6762478,4.0944843,0.18092479,3.0252435,2.6018329,3.258556,-3.126007,3.061356,-2.5127468,2.618165,0.8461362,2.6874847,-1.2370192,2.774703,0.07865375,3.38903,1.1720505,2.4098375,-1.8954494,2.6323009,-2.8258157,2.9903843,0.31664428,2.456204,-0.047103103,2.4290912,0.07756807,0.6518276,-0.014899302,1.2095637,0.03756478,1.0228555,-0.017479446,0.8025451,0.030485244,0.90868354,-0.003107733,1.021096,0.027936304,0.480223,0.002625842,0.6693142,0.0050687,0.6828212,-0.03392592,0.6954376,0.019884951,0.5721138,-0.12108934,1.2645606,0.06908811,1.4504645,0.01056492,0.37789997,-0.05709909,0.7380855,0.01442262,0.563597,-0.008413933,0.40852842,-0.0399048,0.7238539,0.025753142,0.5621458,-0.034747932,0.37327093,-0.03143566,0.39733258,0.0018162336,0.45036358,0.0030394148,0.44612157,0.016586084,0.36764738,2421.7250697202976,420.1671114712505,2109.585155949401,140.57702725884482,5208.897292993631,804.3447255997619,0.2093700238853503,0.0589430849501653,0.15793929,0.20655073,2-100648-A-43.wav,car_horn,2
-274.4948,124.954315,28.527788,14.717735,-34.940536,25.584877,-12.607302,10.768442,-7.2926936,13.703808,0.73118377,7.6109776,-4.0908194,9.137497,2.5857053,6.907763,-5.454846,10.47035,-5.0691,5.8464713,-12.006679,9.121053,-9.915801,8.29476,3.0088038,4.1871805,-159.47404,28.689676,23.859352,4.642457,-50.99028,3.5416462,-30.310667,8.520837,-18.4632,4.882343,-5.4883204,7.811928,-10.3021755,4.56028,-5.5938463,2.4880297,-21.172543,5.149608,-4.777684,2.6929674,-16.26374,2.6442342,-21.547062,6.957641,-0.4683475,2.3259354,-280.035,98.66255,37.441704,11.569027,-36.0097,17.784006,-16.433094,7.9378524,-6.134111,8.14216,6.488447,8.228921,0.3586726,7.0635967,2.5013094,6.1328926,-5.303269,10.497689,-3.3099148,6.092442,-10.648183,7.007879,-7.4054923,6.603714,2.3405101,4.0946565,-1.9414972,14.810935,0.12931728,2.1358712,0.27130452,3.1584728,0.011200425,1.694003,0.1901027,1.6233435,0.15806206,1.4039502,0.18359372,1.1991507,0.114450514,0.93655133,0.15942337,1.4591974,0.14247784,0.98428655,0.13522619,1.1947511,0.07128962,1.332167,-0.0447384,0.6276223,0.027256725,5.454356,0.061891958,1.5264977,0.06571267,1.3196328,0.05571075,0.9361706,0.024620606,0.8386512,0.00091145793,0.6883444,0.004057026,0.7470331,0.037136395,0.4755615,0.05442578,0.64126855,0.043234702,0.63585335,0.01459135,0.61420995,0.014879513,0.6522721,-0.029008746,0.41684496,1591.1750503920678,232.17757988265504,1390.7766445351538,303.3629279520113,2727.8065286624205,775.6429510728098,0.13244551154458598,0.028063243497443883,0.03351312,0.028778853,2-125520-A-43.wav,car_horn,2
