,precision,recall,f1-score,support
Bird,0.875,0.9333333333333333,0.9032258064516129,30.0
Cat,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
Chicken,0.0,0.0,0.0,5.0
Cow,0.7368421052631579,0.9655172413793104,0.835820895522388,29.0
Dog,0.7866666666666666,0.9516129032258065,0.8613138686131386,62.0
Donkey,1.0,1.0,1.0,3.0
Frog,0.8333333333333334,0.9523809523809523,0.8888888888888888,21.0
Lion,1.0,0.42857142857142855,0.6,7.0
Monkey,1.0,0.3333333333333333,0.5,3.0
Sheep,0.0,0.0,0.0,6.0
car_horn,1.0,0.5,0.6666666666666666,8.0
crying_baby,0.8,0.5,0.6153846153846154,8.0
door_wood_knock,1.0,0.875,0.9333333333333333,8.0
glass_breaking,0.7,0.875,0.7777777777777778,8.0
siren,1.0,0.5,0.6666666666666666,8.0
accuracy,0.809322033898305,0.809322033898305,0.809322033898305,0.809322033898305
macro avg,0.7665672514619882,0.6387610572593888,0.6677163457314504,236.0
weighted avg,0.7876769253642582,0.809322033898305,0.7812810981483534,236.0
