param_classifier__C,param_classifier__gamma,param_classifier__class_weight,mean_test_score,std_test_score,rank_test_score
100.0,0.001,,0.8315533250964181,0.023282998079513787,1
10.0,scale,balanced,0.8286829041687616,0.009808697223042043,2
100.0,0.001,balanced,0.8264401483659352,0.019433420442988673,3
10.0,scale,,0.82625210966729,0.011324380016434352,4
100.0,scale,balanced,0.8262050985065612,0.01127438932583801,5
100.0,scale,,0.8262050985065612,0.01127438932583801,5
10.0,0.001,,0.8260997683891999,0.012706855861943726,7
10.0,0.01,,0.8131234716787656,0.014433881342771989,8
100.0,0.01,,0.8131234716787656,0.014433881342771989,8
100.0,0.01,balanced,0.8131234716787656,0.014433881342771989,8
10.0,0.01,balanced,0.8104744604016467,0.012570759114964495,11
10.0,0.001,balanced,0.8093705990262107,0.02725771720932737,12
1.0,scale,balanced,0.7871174783056246,0.017730735413436647,13
1.0,0.01,balanced,0.7777583299733513,0.027059344369122183,14
1.0,scale,,0.7743223256171058,0.02142708863867402,15
1.0,0.01,,0.7539379794660331,0.017102178911043393,16
1.0,0.001,balanced,0.6646901773939569,0.017948326085353968,17
1.0,0.001,,0.5619327173552982,0.018807179916029683,18
0.1,0.01,balanced,0.4462080568311289,0.042084562971352255,19
0.1,scale,balanced,0.44109307023630767,0.050527393480865865,20
10.0,0.1,balanced,0.4139591022793856,0.0159849210168941,21
10.0,0.1,,0.4139591022793856,0.0159849210168941,21
100.0,0.1,,0.4139591022793856,0.0159849210168941,21
100.0,0.1,balanced,0.4139591022793856,0.0159849210168941,21
1.0,0.1,,0.3849081662028231,0.014442358847937332,25
1.0,0.1,balanced,0.37334702556128413,0.026112202066000963,26
0.1,scale,,0.3581501678345357,0.014142209174114816,27
0.1,0.01,,0.3363725102607713,0.012082684481188185,28
0.1,0.001,,0.12881303005003955,0.00683241505101476,29
0.1,0.1,,0.1134176534978423,0.0013320424012149945,30
0.1,0.001,balanced,0.10986820078527526,0.01904317277264615,31
0.1,0.1,balanced,0.05349340541595095,0.04280167361546311,32
