,precision,recall,f1-score,support
Bird,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Cat,0.875,0.7,0.7777777777777778,30.0
Chicken,0.0,0.0,0.0,5.0
Cow,0.8,0.9655172413793104,0.875,29.0
Dog,0.8529411764705882,0.9354838709677419,0.8923076923076924,62.0
Donkey,1.0,1.0,1.0,3.0
Frog,0.8695652173913043,0.9523809523809523,0.9090909090909091,21.0
Lion,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
Monkey,0.5,0.3333333333333333,0.4,3.0
Sheep,1.0,0.5,0.6666666666666666,6.0
car_horn,0.8,0.5,0.6153846153846154,8.0
crying_baby,0.75,0.75,0.75,8.0
door_wood_knock,1.0,1.0,1.0,8.0
glass_breaking,0.6666666666666666,1.0,0.8,8.0
siren,0.8,0.5,0.6153846153846154,8.0
accuracy,0.8347457627118644,0.8347457627118644,0.8347457627118644,0.8347457627118644
macro avg,0.7707861405431738,0.7189556297120258,0.729948754948755,236.0
weighted avg,0.8314684569479968,0.8347457627118644,0.8244426830231916,236.0
