param_classifier__C,param_classifier__gamma,mean_test_score,std_test_score,rank_test_score
10.0,scale,0.8441547497228994,0.011109967662386214,1
100.0,scale,0.843379950179487,0.011142345906603035,2
100.0,0.001,0.8391115126779425,0.006166241863458983,3
10.0,0.001,0.8286995025803605,0.012128162517847634,4
10.0,0.01,0.8263389695962295,0.020932197778998324,5
100.0,0.01,0.8263389695962295,0.020932197778998324,5
1.0,scale,0.7939128847583998,0.02130856540906564,7
1.0,0.01,0.7786806816383708,0.028935304389408334,8
1.0,0.001,0.5796525475176428,0.022747516206965065,9
10.0,0.1,0.4205301104024704,0.04765312876593033,10
100.0,0.1,0.4205301104024704,0.04765312876593033,10
1.0,0.1,0.398148787233198,0.038420173113304604,12
0.1,scale,0.3813568210632063,0.010474806079496772,13
0.1,0.01,0.3573085134350042,0.02040985232010637,14
0.1,0.001,0.1851798213257989,0.009231422376379425,15
0.1,0.1,0.11220164587209931,0.0010110033701668595,16
