,precision,recall,f1-score,support
Bird,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Cat,0.8518518518518519,0.7666666666666667,0.8070175438596491,30.0
Chicken,0.0,0.0,0.0,5.0
Cow,0.8181818181818182,0.9310344827586207,0.8709677419354839,29.0
Dog,0.8194444444444444,0.9516129032258065,0.8805970149253731,62.0
Donkey,1.0,1.0,1.0,3.0
Frog,0.8695652173913043,0.9523809523809523,0.9090909090909091,21.0
Lion,1.0,0.8571428571428571,0.9230769230769231,7.0
Monkey,1.0,0.3333333333333333,0.5,3.0
Sheep,1.0,0.5,0.6666666666666666,6.0
car_horn,0.8571428571428571,0.75,0.8,8.0
crying_baby,0.7142857142857143,0.625,0.6666666666666666,8.0
door_wood_knock,1.0,0.875,0.9333333333333333,8.0
glass_breaking,0.7272727272727273,1.0,0.8421052631578947,8.0
siren,1.0,0.5,0.6666666666666666,8.0
accuracy,0.8516949152542372,0.8516949152542372,0.8516949152542372,0.8516949152542372
macro avg,0.8395485667692306,0.7339225241449936,0.7611338934340475,236.0
weighted avg,0.8466244911959487,0.8516949152542372,0.8386136394587718,236.0
