param_classifier__C,param_classifier__gamma,param_classifier__class_weight,mean_test_score,std_test_score,rank_test_score
10.0,scale,,0.8441547497228994,0.011109967662386214,1
100.0,scale,,0.843379950179487,0.011142345906603035,2
100.0,scale,balanced,0.843379950179487,0.011142345906603035,2
10.0,scale,balanced,0.8412520219627384,0.010446352976587994,4
100.0,0.001,balanced,0.839582841213024,0.012249566881868793,5
100.0,0.001,,0.8391115126779425,0.006166241863458983,6
10.0,0.001,,0.8286995025803605,0.012128162517847634,7
10.0,0.01,,0.8263389695962295,0.020932197778998324,8
100.0,0.01,,0.8263389695962295,0.020932197778998324,8
100.0,0.01,balanced,0.8263389695962295,0.020932197778998324,8
10.0,0.01,balanced,0.8242214302504622,0.018197123127494826,11
10.0,0.001,balanced,0.8143608594456351,0.016500221270804215,12
1.0,scale,balanced,0.814254734992819,0.014921005593340182,13
1.0,0.01,balanced,0.7939882812201928,0.01486691091750216,14
1.0,scale,,0.7939128847583998,0.02130856540906564,15
1.0,0.01,,0.7786806816383708,0.028935304389408334,16
1.0,0.001,balanced,0.663952608375112,0.01407659483199688,17
1.0,0.001,,0.5796525475176428,0.022747516206965065,18
0.1,scale,balanced,0.46613373190426655,0.047863888254119864,19
0.1,0.01,balanced,0.43531033028524924,0.04433903734081492,20
10.0,0.1,balanced,0.4205301104024704,0.04765312876593033,21
10.0,0.1,,0.4205301104024704,0.04765312876593033,21
100.0,0.1,,0.4205301104024704,0.04765312876593033,21
100.0,0.1,balanced,0.4205301104024704,0.04765312876593033,21
1.0,0.1,,0.398148787233198,0.038420173113304604,25
0.1,scale,,0.3813568210632063,0.010474806079496772,26
1.0,0.1,balanced,0.36591025810639033,0.03518571454687655,27
0.1,0.01,,0.3573085134350042,0.02040985232010637,28
0.1,0.001,,0.1851798213257989,0.009231422376379425,29
0.1,0.1,,0.11220164587209931,0.0010110033701668595,30
0.1,0.001,balanced,0.04132712675289226,0.011856239325542648,31
0.1,0.1,balanced,0.017527809978355985,0.011604821650249824,32
