dataset,filename,file_path,class,split,predicted_class,correct,confidence
esc50,5-117120-A-42.wav,data\processed\esc50_16khz\siren\5-117120-A-42.wav,siren,test,Cat,False,0.22839203355238907
animal,animal_sounds_caoofficial_tavuk_27.wav,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_27.wav,Chicken,test,Bird,False,0.2522975301070994
animal,animal_sounds_caoofficial_inek_38.wav,data/processed/audio/Cow/animal_sounds_caoofficial_inek_38.wav,Cow,test,Cat,False,0.2856530189225458
animal,animal_sounds_caoofficial_maymun_22.wav,data/processed/audio/Monkey/animal_sounds_caoofficial_maymun_22.wav,Monkey,test,Bird,False,0.2931129682628385
animal,animal_sounds_caoofficial_tavuk_3.wav,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_3.wav,Chicken,test,Cow,False,0.2934181674507115
animal,animal_sounds_caoofficial_cat_144.wav,data/processed/audio/Cat/animal_sounds_caoofficial_cat_144.wav,Cat,test,crying_baby,False,0.2973813544942276
esc50,5-198411-G-20.wav,data\processed\esc50_16khz\crying_baby\5-198411-G-20.wav,crying_baby,test,Dog,False,0.3077982286223243
animal,animal_sounds_caoofficial_dog_173.wav,data/processed/audio/Dog/animal_sounds_caoofficial_dog_173.wav,Dog,test,Cow,False,0.3125646469549059
animal,animal_sounds_ggquang_5-194899-B.wav,data/processed/audio/Cow/animal_sounds_ggquang_5-194899-B.wav,Cow,test,Dog,False,0.3247587039516988
esc50,5-150409-A-42.wav,data\processed\esc50_16khz\siren\5-150409-A-42.wav,siren,test,Dog,False,0.3299168553301219
animal,animal_sounds_caoofficial_tavuk_2.wav,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_2.wav,Chicken,test,Cat,False,0.331200858449337
animal,animal_sounds_caoofficial_dog_149.wav,data/processed/audio/Dog/animal_sounds_caoofficial_dog_149.wav,Dog,test,car_horn,False,0.33654676578557474
animal,animal_sounds_ggquang_1-18755-B.wav,data/processed/audio/Frog/animal_sounds_ggquang_1-18755-B.wav,Frog,test,Dog,False,0.34285214248081725
animal,animal_sounds_caoofficial_cat_194.wav,data/processed/audio/Cat/animal_sounds_caoofficial_cat_194.wav,Cat,test,Dog,False,0.34286379824856966
esc50,5-179866-A-43.wav,data\processed\esc50_16khz\car_horn\5-179866-A-43.wav,car_horn,test,Cow,False,0.35691401343242046
esc50,5-198411-E-20.wav,data\processed\esc50_16khz\crying_baby\5-198411-E-20.wav,crying_baby,test,Dog,False,0.36274847375397423
animal,animal_sounds_caoofficial_dog_108.wav,data/processed/audio/Dog/animal_sounds_caoofficial_dog_108.wav,Dog,test,glass_breaking,False,0.37536753901714587
esc50,5-133989-A-42.wav,data\processed\esc50_16khz\siren\5-133989-A-42.wav,siren,test,Dog,False,0.4176466062681812
animal,animal_sounds_caoofficial_koyun_9.wav,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_9.wav,Sheep,test,glass_breaking,False,0.4588934339045981
animal,animal_sounds_caoofficial_cat_174.wav,data/processed/audio/Cat/animal_sounds_caoofficial_cat_174.wav,Cat,test,Cow,False,0.45995517474665804
animal,animal_sounds_caoofficial_aslan_8.wav,data/processed/audio/Lion/animal_sounds_caoofficial_aslan_8.wav,Lion,test,Cow,False,0.46875955050356655
animal,animal_sounds_caoofficial_koyun_13.wav,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_13.wav,Sheep,test,Frog,False,0.47924980601759876
esc50,5-250026-A-30.wav,data\processed\esc50_16khz\door_wood_knock\5-250026-A-30.wav,door_wood_knock,test,Dog,False,0.4870413702147863
animal,animal_sounds_caoofficial_cat_52.wav,data/processed/audio/Cat/animal_sounds_caoofficial_cat_52.wav,Cat,test,Frog,False,0.5271266557112915
animal,animal_sounds_caoofficial_koyun_14.wav,data/processed/audio/Sheep/animal_sounds_caoofficial_koyun_14.wav,Sheep,test,Cat,False,0.5275988280621208
esc50,5-179863-A-43.wav,data\processed\esc50_16khz\car_horn\5-179863-A-43.wav,car_horn,test,Cow,False,0.5385937304031806
animal,animal_sounds_caoofficial_cat_34.wav,data/processed/audio/Cat/animal_sounds_caoofficial_cat_34.wav,Cat,test,Dog,False,0.5475239210009587
animal,animal_sounds_caoofficial_cat_176.wav,data/processed/audio/Cat/animal_sounds_caoofficial_cat_176.wav,Cat,test,Chicken,False,0.5607862047595223
esc50,5-184323-A-42.wav,data\processed\esc50_16khz\siren\5-184323-A-42.wav,siren,test,Dog,False,0.5874263270946329
animal,animal_sounds_caoofficial_cat_64.wav,data/processed/audio/Cat/animal_sounds_caoofficial_cat_64.wav,Cat,test,crying_baby,False,0.5970602045255291
esc50,5-198411-C-20.wav,data\processed\esc50_16khz\crying_baby\5-198411-C-20.wav,crying_baby,test,Dog,False,0.7173379215797762
animal,animal_sounds_caoofficial_maymun_11.wav,data/processed/audio/Monkey/animal_sounds_caoofficial_maymun_11.wav,Monkey,test,Frog,False,0.7582737241528767
animal,animal_sounds_caoofficial_tavuk_6.wav,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_6.wav,Chicken,test,Dog,False,0.821849682985753
animal,animal_sounds_caoofficial_Kus_109_v2 (92).wav,data/processed/audio/Bird/animal_sounds_caoofficial_Kus_109_v2 (92).wav,Bird,test,glass_breaking,False,0.9150079986597582
animal,animal_sounds_caoofficial_tavuk_20.wav,data/processed/audio/Chicken/animal_sounds_caoofficial_tavuk_20.wav,Chicken,test,Dog,False,0.9663071149528866
