,precision,recall,f1-score,support
Bird,0.9642857142857143,0.9,0.9310344827586207,30.0
Cat,0.8,0.8,0.8,30.0
Chicken,0.0,0.0,0.0,5.0
Cow,0.84375,0.9310344827586207,0.8852459016393442,29.0
Dog,0.8571428571428571,0.967741935483871,0.9090909090909091,62.0
Donkey,0.75,1.0,0.8571428571428571,3.0
Frog,0.84,1.0,0.9130434782608695,21.0
Lion,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
Monkey,0.5,0.3333333333333333,0.4,3.0
Sheep,0.75,0.5,0.6,6.0
car_horn,1.0,0.75,0.8571428571428571,8.0
crying_baby,0.8,0.5,0.6153846153846154,8.0
door_wood_knock,1.0,0.875,0.9333333333333333,8.0
glass_breaking,0.6666666666666666,1.0,0.8,8.0
siren,1.0,0.5,0.6666666666666666,8.0
accuracy,0.847457627118644,0.847457627118644,0.847457627118644,0.847457627118644
macro avg,0.7736785714285715,0.7180930310574358,0.7291543913767229,236.0
weighted avg,0.8389696832122681,0.847457627118644,0.8342244863291439,236.0
