param_classifier__C,param_classifier__gamma,mean_test_score,std_test_score,rank_test_score
100.0,scale,0.8735109282129406,0.05490156091363646,1
10.0,scale,0.8735109282129406,0.05490156091363646,1
1.0,scale,0.8704387602994413,0.029769258529082954,3
100.0,0.001,0.8586088894622177,0.03199294476392312,4
10.0,0.01,0.8519095509323837,0.03495701657302388,5
100.0,0.01,0.8519095509323837,0.03495701657302388,5
10.0,0.001,0.8482868732288237,0.034031631842388756,7
1.0,0.01,0.8482237086242504,0.031059794990356986,8
1.0,0.001,0.7666422246627355,0.0196493320736439,9
0.1,scale,0.7560091639813002,0.06193380979581709,10
0.1,0.01,0.7275388239784525,0.05842158950983743,11
0.1,0.001,0.7057848584164373,0.014652526818230748,12
10.0,0.1,0.3862867004171352,0.09917693885414888,13
100.0,0.1,0.3862867004171352,0.09917693885414888,13
1.0,0.1,0.36113830458214424,0.1118773727711147,15
0.1,0.1,0.22109146593647938,0.07601306495471616,16
